C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs
50,true,0.0,0.16566776,0.0,25,100,2,5,150,100
50,true,0.0,0.1526705,0.0,25,100,2,5,200,100
50,true,0.0,0.5665092,0.0,25,100,4,1,10,100
50,true,0.0,0.39402455,0.0,25,100,4,1,50,100
50,true,0.0,0.28683043,0.0,25,100,4,1,100,100
50,true,0.0,0.2323754,0.0,25,100,4,1,150,100
50,true,0.0,0.20032115,0.0,25,100,4,1,200,100
50,true,0.0,0.62378514,0.0,25,100,4,2,10,100
50,true,0.0,0.4264412,0.0,25,100,4,2,50,100
50,true,0.0,0.2998227,0.0,25,100,4,2,100,100
50,true,0.0,0.22930063,0.0,25,100,4,2,150,100
50,true,0.0,0.19821838,0.0,25,100,4,2,200,100
50,true,0.0,0.6362631,0.0,25,100,4,3,10,100
50,true,0.0,0.4334268,0.0,25,100,4,3,50,100
50,true,0.0,0.30278748,0.0,25,100,4,3,100,100
50,true,0.0,0.23231323,0.0,25,100,4,3,150,100
50,true,0.0,0.19734055,0.0,25,100,4,3,200,100
50,true,0.0,0.650509,0.0,25,100,4,4,10,100
50,true,0.0,0.4460021,0.0,25,100,4,4,50,100
50,true,0.0,0.30183965,0.0,25,100,4,4,100,100
50,true,0.0,0.22965166,0.0,25,100,4,4,150,100
50,true,0.0,0.19864184,0.0,25,100,4,4,200,100
50,true,0.0,0.64713895,0.0,25,100,4,5,10,100
50,true,0.0,0.45561564,0.0,25,100,4,5,50,100
50,true,0.0,0.30449885,0.0,25,100,4,5,100,100
50,true,0.0,0.23102684,0.0,25,100,4,5,150,100
50,true,0.0,0.19550768,0.0,25,100,4,5,200,100
50,true,0.0,0.6695765,0.0,25,100,6,1,10,100
50,true,0.0,0.50984967,0.0,25,100,6,1,50,100
50,true,0.0,0.38684854,0.0,25,100,6,1,100,100
50,true,0.0,0.30601957,0.0,25,100,6,1,150,100
50,true,0.0,0.25215796,0.0,25,100,6,1,200,100
50,true,1.0,0.7659261,13275.0,25,100,6,2,10,100
50,true,0.0,0.5819489,0.0,25,100,6,2,50,100
50,true,0.0,0.47633356,0.0,25,100,6,2,100,100
50,true,0.0,0.35207596,0.0,25,100,6,2,150,100
50,true,0.0,0.25873804,0.0,25,100,6,2,200,100
50,true,1.0,0.8013676,13275.0,25,100,6,3,10,100
50,true,0.0,0.613625,0.0,25,100,6,3,50,100
50,true,0.0,0.5100754,0.0,25,100,6,3,100,100
50,true,0.0,0.3808992,0.0,25,100,6,3,150,100
50,true,0.0,0.26205698,0.0,25,100,6,3,200,100
50,true,8.0,0.82028425,26015.625,25,100,6,4,10,100
50,true,0.0,0.6135932,0.0,25,100,6,4,50,100
50,true,0.0,0.5328705,0.0,25,100,6,4,100,100
