C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs,t
100,false,0.0,0.5430521,0.0,150,300,4,0,0,100,28.912851
100,false,0.0,0.47566402,0.0,150,300,5,0,0,100,30.049326
100,false,12.0,0.9053633,57075.0,150,450,1,0,0,100,30.372911
100,false,0.0,0.7137156,0.0,150,450,2,0,0,100,33.36121
100,false,0.0,0.63172257,0.0,150,450,3,0,0,100,31.994265
100,false,0.0,0.5661221,0.0,150,450,4,0,0,100,32.07628
100,false,0.0,0.5029034,0.0,150,450,5,0,0,100,46.12052
100,false,23.0,0.92844266,67415.22,150,600,1,0,0,100,43.43483
100,false,0.0,0.77161026,0.0,150,600,2,0,0,100,47.759563
100,false,0.0,0.63238347,0.0,150,600,3,0,0,100,47.066208
100,false,0.0,0.57447195,0.0,150,600,4,0,0,100,42.114555
100,false,0.0,0.51260215,0.0,150,600,5,0,0,100,41.448265
100,false,25.0,0.9246066,70254.0,150,750,1,0,0,100,30.267574
100,false,0.0,0.79886216,0.0,150,750,2,0,0,100,35.918175
100,false,0.0,0.6354188,0.0,150,750,3,0,0,100,68.15769
100,false,0.0,0.57130694,0.0,150,750,4,0,0,100,66.60331
100,false,0.0,0.5127062,0.0,150,750,5,0,0,100,61.20045
100,false,0.0,0.66380394,0.0,200,150,1,0,0,100,11.920735
100,false,0.0,0.58776236,0.0,200,150,2,0,0,100,13.656596
100,false,0.0,0.564865,0.0,200,150,3,0,0,100,14.128494
100,false,0.0,0.49914527,0.0,200,150,4,0,0,100,14.453678
100,false,0.0,0.43937853,0.0,200,150,5,0,0,100,13.958722
100,false,30.0,0.9305941,50253.332,200,300,1,0,0,100,30.369305
100,false,1.0,0.71572113,47200.0,200,300,2,0,0,100,35.700546
100,false,0.0,0.70071334,0.0,200,300,3,0,0,100,36.391018
100,false,0.0,0.6543361,0.0,200,300,4,0,0,100,35.02526
100,false,0.0,0.5954233,0.0,200,300,5,0,0,100,34.861652
100,false,67.0,0.98136055,62026.867,200,450,1,0,0,100,29.169603
100,false,3.0,0.86576813,74266.664,200,450,2,0,0,100,38.7875
100,false,1.0,0.7095625,61800.0,200,450,3,0,0,100,35.568024
100,false,0.0,0.663704,0.0,200,450,4,0,0,100,58.00039
100,false,0.0,0.61233974,0.0,200,450,5,0,0,100,56.71744
100,false,85.0,0.9922403,70894.12,200,600,1,0,0,100,35.706753
100,false,4.0,0.8969879,79400.0,200,600,2,0,0,100,54.832146
100,false,1.0,0.7290479,61800.0,200,600,3,0,0,100,51.91061
100,false,0.0,0.676988,0.0,200,600,4,0,0,100,43.164654
100,false,0.0,0.61432993,0.0,200,600,5,0,0,100,42.29702
100,false,97.0,0.9986928,78206.19,200,750,1,0,0,100,21.508198
